	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count
PKUV01_ENA|PKUV01000021|PKUV01000021.1_37	PKUV01	ENA|PKUV01000021|PKUV01000021.1	37	39232	39513	-1	C	K03530	aba:Acid345_4704  histone-like DNA-binding protein; K03530 DNA-binding protein HU-beta	False	0.6970000000000001	132.0	1.6619999999999996e-34								Bacterial DNA-binding protein [PF00216.21]		sp|P0A3H0|DBH_GEOSE DNA-binding protein HU; Xr	Xr	0
PKUV01_ENA|PKUV01000021|PKUV01000021.1_38	PKUV01	ENA|PKUV01000021|PKUV01000021.1	38	39881	40693	1	C	K02315	aba:Acid345_0060  DNA replication protein, DNAC-like; K02315 DNA replication protein DnaC	False	0.5670000000000001	294.0	4.297e-87								IstB-like ATP binding protein [PF01695.17]		sp|P0AEF0|DNAC_ECOLI DNA replication protein DnaC; XhXr	Xr;Xh	0
PKUV01_ENA|PKUV01000022|PKUV01000022.1_1	PKUV01	ENA|PKUV01000022|PKUV01000022.1	1	437	2182	-1	C		ckl:CKL_2948  hypothetical protein	False	0.293	114.0	2.6190000000000005e-23												0
PKUV01_ENA|PKUV01000022|PKUV01000022.1_2	PKUV01	ENA|PKUV01000022|PKUV01000022.1	2	2179	2355	-1	E																		0
PKUV01_ENA|PKUV01000022|PKUV01000022.1_3	PKUV01	ENA|PKUV01000022|PKUV01000022.1	3	2352	4229	-1	E																		0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_1	PKUV01	ENA|PKUV01000023|PKUV01000023.1	1	3	230	-1	E																		0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_2	PKUV01	ENA|PKUV01000023|PKUV01000023.1	2	520	1233	-1	C		xao:XAC29_22739  hypothetical protein	False	0.612	267.0	2.0459999999999992e-78								Uncharacterised protein family (UPF0149) [PF03695.13]; SEC-C motif [PF02810.15]				0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_3	PKUV01	ENA|PKUV01000023|PKUV01000023.1	3	1362	1565	1	E																		0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_4	PKUV01	ENA|PKUV01000023|PKUV01000023.1	4	1579	1782	-1	E																		0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_5	PKUV01	ENA|PKUV01000023|PKUV01000023.1	5	2444	2737	1	C		dau:Daud_0503  helicase domain-containing protein	False	0.841	141.0	1.389e-37												0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_6	PKUV01	ENA|PKUV01000023|PKUV01000023.1	6	3542	4663	1	C		sur:STAUR_1766  hypothetical protein	False	0.425	251.0	1.67e-70								Glyoxal oxidase N-terminus [PF07250.11]				0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_7	PKUV01	ENA|PKUV01000023|PKUV01000023.1	7	4965	5477	1	E																		0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_8	PKUV01	ENA|PKUV01000023|PKUV01000023.1	8	5640	5882	1	E																		0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_9	PKUV01	ENA|PKUV01000023|PKUV01000023.1	9	5931	6131	-1	C	K03116	lfc:LFE_0767  hypothetical protein; K03116 sec-independent protein translocase protein TatA	False	0.551	66.0	6.28e-12								mttA/Hcf106 family [PF02416.16]				0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_10	PKUV01	ENA|PKUV01000023|PKUV01000023.1	10	6288	7460	-1	A		aba:Acid345_3589  hypothetical protein	True	0.639	464.0	7.385999999999995e-144												0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_11	PKUV01	ENA|PKUV01000023|PKUV01000023.1	11	8116	8886	1	C		aba:Acid345_4054  two component transcriptional regulator	False	0.6459999999999999	287.0	3.6239999999999976e-85								Response regulator receiver domain [PF00072.24]; Transcriptional regulatory protein, C terminal [PF00486.28]				0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_12	PKUV01	ENA|PKUV01000023|PKUV01000023.1	12	9108	10874	1	A		aba:Acid345_4055  periplasmic sensor signal transduction histidine kinase	True	0.494	523.0	1.6479999999999993e-160								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.26]; HAMP domain [PF00672.25]; His Kinase A (phospho-acceptor) domain [PF00512.25]				0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_13	PKUV01	ENA|PKUV01000023|PKUV01000023.1	13	10968	12578	1	A		aba:Acid345_0519  hypothetical protein	True	0.426	369.0	1.3639999999999999e-108												0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_14	PKUV01	ENA|PKUV01000023|PKUV01000023.1	14	12640	13401	1	C		acm:AciX9_0593  hypothetical protein	False	0.487	207.0	3.055e-57								Copper binding proteins, plastocyanin/azurin family [PF00127.20]				0
PKUV01_ENA|PKUV01000023|PKUV01000023.1_15	PKUV01	ENA|PKUV01000023|PKUV01000023.1	15	13569	13736	1	E																		0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_1	PKUV01	ENA|PKUV01000024|PKUV01000024.1	1	296	1021	-1	C		aba:Acid345_2649  haloacid dehalogenase-like hydrolase	False	0.537	231.0	8.986999999999998e-66								haloacid dehalogenase-like hydrolase [PF12710.7]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_2	PKUV01	ENA|PKUV01000024|PKUV01000024.1	2	1045	1737	-1	C		aba:Acid345_2648  molybdenum cofactor biosynthesis protein	False	0.617	250.0	8.342999999999998e-73								MobA-like NTP transferase domain [PF12804.7]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_3	PKUV01	ENA|PKUV01000024|PKUV01000024.1	3	1780	2166	1	C		aba:Acid345_4315  endoribonuclease L-PSP	False	0.613	145.0	3.406e-38								Endoribonuclease L-PSP [PF01042.21]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_4	PKUV01	ENA|PKUV01000024|PKUV01000024.1	4	2321	3310	-1	A	K02523	aba:Acid345_2027  trans-hexaprenyltranstransferase; K02523 octaprenyl-diphosphate synthase [EC:2.5.1.90]	True	0.7290000000000001	473.0	6.932999999999996e-148								Polyprenyl synthetase [PF00348.17]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_5	PKUV01	ENA|PKUV01000024|PKUV01000024.1	5	3316	3813	-1	C	K09767	aba:Acid345_2028  nucleotide-binding protein; K09767 hypothetical protein	False	0.7340000000000001	247.0	7.868e-73								Protein of unknown function (DUF520) [PF04461.13]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_6	PKUV01	ENA|PKUV01000024|PKUV01000024.1	6	4006	4848	-1	A	K03424	aca:ACP_2841  hydrolase, TatD family; K03424 TatD DNase family protein [EC:3.1.21.-]	True	0.664	356.0	2.3239999999999993e-108								TatD related DNase [PF01026.21]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_7	PKUV01	ENA|PKUV01000024|PKUV01000024.1	7	5099	7141	-1	A	K01874	aba:Acid345_2030  methionyl-tRNA synthetase; K01874 methionyl-tRNA synthetase [EC:6.1.1.10]	True	0.74	1019.0	0.0								tRNA synthetases class I (M) [PF09334.11]; Putative tRNA binding domain [PF01588.20]; tRNA synthetases class I (I, L, M and V) [PF00133.22]; Anticodon-binding domain of tRNA [PF08264.13]; tRNA synthetases class I (C) catalytic domain [PF01406.19]		sp|Q54X95|SYMC_DICDI Probable methionine--tRNA ligase, cytoplasmic; Xh	Xh	0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_8	PKUV01	ENA|PKUV01000024|PKUV01000024.1	8	7246	8553	-1	A	K09121	aba:Acid345_2031  hypothetical protein; K09121 hypothetical protein	True	0.574	506.0	2.3449999999999982e-157								Protein of unknown function DUF111 [PF01969.17]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_9	PKUV01	ENA|PKUV01000024|PKUV01000024.1	9	8766	10838	1	A	K01887	aba:Acid345_2032  arginyl-tRNA synthetase; K01887 arginyl-tRNA synthetase [EC:6.1.1.19]	True	0.633	857.0	3.3299999999999967e-274								tRNA synthetases class I (R) [PF00750.19]; Arginyl tRNA synthetase N terminal domain [PF03485.16]; DALR anticodon binding domain [PF05746.15]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_10	PKUV01	ENA|PKUV01000024|PKUV01000024.1	10	10958	11401	1	E																		0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_11	PKUV01	ENA|PKUV01000024|PKUV01000024.1	11	11729	12478	1	C		aba:Acid345_3118  OmpA/MotB family outer membrane protein	False	0.599	266.0	8.794999999999996e-78								OmpA family [PF00691.20]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_12	PKUV01	ENA|PKUV01000024|PKUV01000024.1	12	12619	13149	1	C		aba:Acid345_1592  hypothetical protein	False	0.516	133.0	3.353e-33												0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_13	PKUV01	ENA|PKUV01000024|PKUV01000024.1	13	13175	13732	-1	C		aba:Acid345_1585  hypothetical protein	False	0.485	176.0	6.178999999999999e-48												0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_14	PKUV01	ENA|PKUV01000024|PKUV01000024.1	14	14451	15026	-1	E																		0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_15	PKUV01	ENA|PKUV01000024|PKUV01000024.1	15	15081	15947	-1	C		aba:Acid345_1590  PAS/PAC sensor signal transduction histidine kinase	False	0.285	122.0	8.896e-28												0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_16	PKUV01	ENA|PKUV01000024|PKUV01000024.1	16	15944	16864	-1	C	K02654	aba:Acid345_1591  type 4 prepilin peptidase 1. Aspartic peptidase. MEROPS family A24A; K02654 leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	False	0.486	292.0	6.782999999999997e-86	MER0065480	A24A	MER0065480 - subfamily A24A unassigned peptidases (Koribacter versatilis) [A24.UPA]#A24A#{peptidase unit: 19-326}~source YP_590667~	False	0.501	286.0	5.293999999999998e-85	Bacterial Peptidase A24 N-terminal domain [PF06750.13]; Type IV leader peptidase family [PF01478.18]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_17	PKUV01	ENA|PKUV01000024|PKUV01000024.1	17	16994	18445	-1	C		trs:Terro_3635  PAS domain-containing protein	False	0.47	302.0	2.7609999999999994e-86								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.26]; PAS fold [PF00989.25]; PAS fold [PF08448.10]; Domain of unknown function (DUF4118) [PF13493.6]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.6]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_18	PKUV01	ENA|PKUV01000024|PKUV01000024.1	18	18635	19726	-1	C		acm:AciX9_0974  transporter	False	0.331	192.0	2.112e-50								BON domain [PF04972.17]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_19	PKUV01	ENA|PKUV01000024|PKUV01000024.1	19	19861	20367	-1	E																		0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_20	PKUV01	ENA|PKUV01000024|PKUV01000024.1	20	20472	21125	1	C	K03752	aba:Acid345_2887  molybdenum cofactor guanylyltransferase; K03752 molybdopterin-guanine dinucleotide biosynthesis protein A [EC:2.7.7.77]	False	0.446	152.0	6.448999999999998e-39								MobA-like NTP transferase domain [PF12804.7]; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [PF01128.19]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_21	PKUV01	ENA|PKUV01000024|PKUV01000024.1	21	21427	22203	1	A	K02065	tsa:AciPR4_2554  ABC transporter-like protein; K02065 putative ABC transport system ATP-binding protein	True	0.728	364.0	8.582e-112								ABC transporter [PF00005.27]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_22	PKUV01	ENA|PKUV01000024|PKUV01000024.1	22	22360	23004	-1	C	K00793	aba:Acid345_2883  riboflavin synthase subunit alpha; K00793 riboflavin synthase [EC:2.5.1.9]	False	0.731	319.0	4.683999999999999e-97								Lumazine binding domain [PF00677.17]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_23	PKUV01	ENA|PKUV01000024|PKUV01000024.1	23	23173	24348	-1	A	K11752	aba:Acid345_3337  5-amino-6-(5-phosphoribosylamino)uracil reductase / diaminohydroxyphosphoribosylaminopyrimidine deaminase; K11752 diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	True	0.621	469.0	2.4279999999999988e-145								RibD C-terminal domain [PF01872.17]; MafB19-like deaminase [PF14437.6]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.23]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_24	PKUV01	ENA|PKUV01000024|PKUV01000024.1	24	24422	25378	-1	A	K03110	aba:Acid345_3336  signal recognition particle-docking protein FtsY; K03110 fused signal recognition particle receptor	True	0.723	468.0	1.8529999999999996e-146								SRP54-type protein, GTPase domain [PF00448.22]; SRP54-type protein, helical bundle domain [PF02881.19]; AAA domain [PF13604.6]				0
PKUV01_ENA|PKUV01000024|PKUV01000024.1_25	PKUV01	ENA|PKUV01000024|PKUV01000024.1	25	25503	27338	-1	A		aba:Acid345_3335  metal dependent phosphohydrolase	True	0.64	746.0	3.3889999999999966e-237								HD domain [PF13487.6]; HD domain [PF01966.22]; HAMP domain [PF00672.25]; Cache domain [PF02743.18]				0
PKUV01_ENA|PKUV01000025|PKUV01000025.1_1	PKUV01	ENA|PKUV01000025|PKUV01000025.1	1	2	277	1	C		arr:ARUE_c13990  FAD/FMN-containing oxidoreductase	False	0.5589999999999999	87.0	7.254000000000001e-19								Berberine and berberine like [PF08031.12]				0
PKUV01_ENA|PKUV01000025|PKUV01000025.1_2	PKUV01	ENA|PKUV01000025|PKUV01000025.1	2	414	3665	1	C		sus:Acid_0872  TonB-dependent receptor, plug	False	0.324	535.0	1.1029999999999994e-157	MER0836264	M14B	MER0836264 - subfamily M14B non-peptidase homologues (Pyrinomonas methylaliphatogenes) [M14.UNB]#M14B#{peptidase unit: 19-104}~source A0A0B6X0E6~	False	0.443	69.0	4.486e-10	Carboxypeptidase regulatory-like domain [PF13620.6]; CarboxypepD_reg-like domain [PF13715.6]				0
PKUV01_ENA|PKUV01000025|PKUV01000025.1_3	PKUV01	ENA|PKUV01000025|PKUV01000025.1	3	3817	5685	1	C		glj:GKIL_2590  peptidase M61 domain-containing protein	False	0.489	543.0	7.240999999999995e-167	MER0504094	M61	MER0504094 - glycyl aminopeptidase (Gloeobacter kilaueensis) [M61.001]#M61#{peptidase unit: 9-590}~source YP_008712543~	False	0.494	531.0	8.272999999999994e-164	M61 glycyl aminopeptidase [PF05299.12]; Peptidase M61 N-terminal domain [PF17899.1]				0
PKUV01_ENA|PKUV01000025|PKUV01000025.1_4	PKUV01	ENA|PKUV01000025|PKUV01000025.1	4	5743	6165	-1	E																		0
PKUV01_ENA|PKUV01000025|PKUV01000025.1_5	PKUV01	ENA|PKUV01000025|PKUV01000025.1	5	6282	7427	1	C		swi:Swit_4777  class V aminotransferase	False	0.445	302.0	7.079999999999998e-88								Aminotransferase class-V [PF00266.19]				0
PKUV01_ENA|PKUV01000025|PKUV01000025.1_6	PKUV01	ENA|PKUV01000025|PKUV01000025.1	6	7588	7836	1	E																		0
PKUV01_ENA|PKUV01000025|PKUV01000025.1_7	PKUV01	ENA|PKUV01000025|PKUV01000025.1	7	8509	8844	1	E																		0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_1	PKUV01	ENA|PKUV01000026|PKUV01000026.1	1	3	77	1	E																		0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_2	PKUV01	ENA|PKUV01000026|PKUV01000026.1	2	47	481	-1	C		aba:Acid345_0631  signal-transduction protein	False	0.653	159.0	1.1059999999999999e-42	MER0234341	M50B	MER0234341 - subfamily M50B non-peptidase homologues (Geobacillus sp. Y412MC52) [M50.UNB]#M50B#{peptidase unit: 8-83}~source YP_004131148~	False	0.472	63.0	1.744e-10	CBS domain [PF00571.28]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_3	PKUV01	ENA|PKUV01000026|PKUV01000026.1	3	708	2141	-1	A		aba:Acid345_0630  hypothetical protein	True	0.541	468.0	1.6379999999999991e-143								Protein of unknown function DUF58 [PF01882.18]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_4	PKUV01	ENA|PKUV01000026|PKUV01000026.1	4	2234	2851	-1	C	K03975	aba:Acid345_0628  hypothetical protein; K03975 membrane-associated protein	False	0.597	228.0	1.7649999999999994e-65								SNARE associated Golgi protein [PF09335.11]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_5	PKUV01	ENA|PKUV01000026|PKUV01000026.1	5	3013	3963	-1	C		aba:Acid345_0627  Alpha/beta hydrolase	False	0.451	224.0	4.792999999999997e-62	MER0065425	S33	MER0065425 - family S33 non-peptidase homologues (Koribacter versatilis) [S33.UNW]#S33#{peptidase unit: 34-284}~source YP_589706~	False	0.453	209.0	4.802999999999998e-58	Serine aminopeptidase, S33 [PF12146.8]; alpha/beta hydrolase fold [PF00561.20]; Alpha/beta hydrolase family [PF12697.7]; TAP-like protein [PF08386.10]; Prolyl oligopeptidase family [PF00326.21]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_6	PKUV01	ENA|PKUV01000026|PKUV01000026.1	6	4122	5345	-1	A	K00818	aba:Acid345_0626  acetylornithine aminotransferase; K00818 acetylornithine aminotransferase [EC:2.6.1.11]	True	0.6759999999999999	533.0	3.655999999999998e-167								Aminotransferase class-III [PF00202.21]		sp|Q8PX16|ARGD_METMA Acetylornithine aminotransferase; Xh	Xh	0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_7	PKUV01	ENA|PKUV01000026|PKUV01000026.1	7	5412	5867	-1	C		aba:Acid345_1169  lysine decarboxylase transcriptional regulator, CadC	False	0.63	120.0	3.951e-29								Transcriptional regulatory protein, C terminal [PF00486.28]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_8	PKUV01	ENA|PKUV01000026|PKUV01000026.1	8	6491	9379	1	A		aba:Acid345_3357  multi-sensor signal transduction histidine kinase	True	0.675	1264.0	0.0								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.26]; N-terminal 7TM region of histidine kinase [PF16927.5]; PAS fold [PF08448.10]; His Kinase A (phospho-acceptor) domain [PF00512.25]; GAF domain [PF13492.6]; PAS fold [PF00989.25]; PDZ domain [PF13180.6]; PDZ domain [PF17820.1]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_9	PKUV01	ENA|PKUV01000026|PKUV01000026.1	9	9372	10823	1	A		aba:Acid345_3356  two component, sigma54 specific, Fis family transcriptional regulator	True	0.747	713.0	5.2249999999999947e-228								Sigma-54 interaction domain [PF00158.26]; Sigma-54 interaction domain [PF14532.6]; Response regulator receiver domain [PF00072.24]; AAA domain (dynein-related subfamily) [PF07728.14]; Bacterial regulatory protein, Fis family [PF02954.19]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_10	PKUV01	ENA|PKUV01000026|PKUV01000026.1	10	10944	11738	1	C		aba:Acid345_2890  hypothetical protein	False	0.654	336.0	1.0799999999999994e-101								Permease MlaE [PF02405.16]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_11	PKUV01	ENA|PKUV01000026|PKUV01000026.1	11	11742	12587	1	C		aba:Acid345_2891  ABC transporter, ATPase subunit	False	0.627	342.0	1.0779999999999992e-103								ABC transporter [PF00005.27]				0
PKUV01_ENA|PKUV01000026|PKUV01000026.1_12	PKUV01	ENA|PKUV01000026|PKUV01000026.1	12	12698	13957	-1	A	K02346	sus:Acid_0850  DNA-directed DNA polymerase (EC:2.7.7.7); K02346 DNA polymerase IV [EC:2.7.7.7]	True	0.735	602.0	4.066999999999997e-191								impB/mucB/samB family [PF00817.20]; impB/mucB/samB family C-terminal domain [PF11799.8]; IMS family HHH motif [PF11798.8]		sp|P04152|UMUC_ECOLI Protein UmuC; Xh	Xh	0
PKUV01_ENA|PKUV01000027|PKUV01000027.1_1	PKUV01	ENA|PKUV01000027|PKUV01000027.1	1	353	1732	1	A		calt:Cal6303_0240  transposase IS116/IS110/IS902 family protein	True	0.535	458.0	1.4649999999999992e-140								Transposase [PF01548.17]; Transposase IS116/IS110/IS902 family [PF02371.16]				0
PKUV01_ENA|PKUV01000027|PKUV01000027.1_2	PKUV01	ENA|PKUV01000027|PKUV01000027.1	2	2290	3414	-1	A		tsa:AciPR4_2230  type I phosphodiesterase/nucleotide pyrophosphatase	True	0.7040000000000001	434.0	1.2109999999999992e-133								Type I phosphodiesterase / nucleotide pyrophosphatase [PF01663.22]				0
PKUV01_ENA|PKUV01000027|PKUV01000027.1_3	PKUV01	ENA|PKUV01000027|PKUV01000027.1	3	3454	3813	1	E																		0
PKUV01_ENA|PKUV01000027|PKUV01000027.1_4	PKUV01	ENA|PKUV01000027|PKUV01000027.1	4	3702	4817	-1	C	K06978	gma:AciX8_2509  hydrolase CocE/NonD family protein; K06978	False	0.679	479.0	2.8769999999999986e-149	MER1024405	S15	MER1024405 - family S15 non-peptidase homologues (Granulicella mallensis) [S15.UNW]#S15#{peptidase unit: 53-601}~source G8NZ88~	False	0.679	479.0	2.023999999999999e-150	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain [PF08530.10]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.18]				0
PKUV01_ENA|PKUV01000028|PKUV01000028.1_1	PKUV01	ENA|PKUV01000028|PKUV01000028.1	1	3	1364	1	A		cmp:Cha6605_2878  tyrosine phenol-lyase	True	0.754	673.0	8.714999999999993e-215								Beta-eliminating lyase [PF01212.21]; DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.17]				0
PKUV01_ENA|PKUV01000028|PKUV01000028.1_2	PKUV01	ENA|PKUV01000028|PKUV01000028.1	2	1646	2800	-1	A	K07407	gma:AciX8_3428  Alpha-galactosidase; K07407 alpha-galactosidase [EC:3.2.1.22]	True	0.625	476.0	4.571999999999997e-148								Alpha galactosidase A [PF16499.5]; Alpha galactosidase C-terminal beta sandwich domain [PF17801.1]; Melibiase [PF02065.18]; Alpha galactosidase A C-terminal beta sandwich domain [PF17450.2]	GH27 alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); isomalto-dextranase (EC 3.2.1.94); beta-L-arabinopyranosidase (EC 3.2.1.88); galactan:galactan galactosyltransferase (EC 2.4.1.-) [GH27]			0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_1	PKUV01	ENA|PKUV01000029|PKUV01000029.1	1	2	298	1	C	K03154	aba:Acid345_1317  thiamine biosynthesis protein ThiS; K03154 sulfur carrier protein	False	0.618	83.0	4.451e-17								ThiS family [PF02597.20]				0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_2	PKUV01	ENA|PKUV01000029|PKUV01000029.1	2	572	1549	1	A		aba:Acid345_2286  glycosyl transferase family protein	True	0.782	521.0	1.1969999999999993e-164								Glycosyl transferase family 2 [PF00535.26]; Glycosyltransferase like family 2 [PF13641.6]; Glycosyltransferase like family 2 [PF10111.9]	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glycos_transf_2]	sp|O22007|GTRB_BPSF5 Bactoprenol glucosyl transferase; Xh	Xh	0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_3	PKUV01	ENA|PKUV01000029|PKUV01000029.1	3	1670	2863	1	A		aba:Acid345_2243  aminotransferase	True	0.762	604.0	3.1589999999999973e-192								Aminotransferase class I and II [PF00155.21]; DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.17]; Aminotransferase class-V [PF00266.19]; Cys/Met metabolism PLP-dependent enzyme [PF01053.20]				0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_4	PKUV01	ENA|PKUV01000029|PKUV01000029.1	4	2913	3398	1	C		art:Arth_3969  hypothetical protein	False	0.446	126.0	3.854999999999999e-31												0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_5	PKUV01	ENA|PKUV01000029|PKUV01000029.1	5	3506	4288	1	C	K06996	aba:Acid345_4507  glyoxalase/bleomycin resistance protein/dioxygenase; K06996	False	0.551	275.0	7.387e-81								Glyoxalase-like domain [PF18029.1]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.25]; Glyoxalase-like domain [PF12681.7]				0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_6	PKUV01	ENA|PKUV01000029|PKUV01000029.1	6	4544	6604	1	A	K00615	aba:Acid345_2237  transketolase; K00615 transketolase [EC:2.2.1.1]	True	0.773	1062.0	0.0								Transketolase, thiamine diphosphate binding domain [PF00456.21]; Transketolase, pyrimidine binding domain [PF02779.24]; Transketolase, C-terminal domain [PF02780.20]; 1-deoxy-D-xylulose-5-phosphate synthase [PF13292.6]; Dehydrogenase E1 component [PF00676.20]				0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_7	PKUV01	ENA|PKUV01000029|PKUV01000029.1	7	6782	9538	1	A		aba:Acid345_3053  hypothetical protein	True	0.5489999999999999	930.0	3.5829999999999945e-295								Phosphoesterase family [PF04185.14]; Lactonase, 7-bladed beta-propeller [PF10282.9]; SMP-30/Gluconolactonase/LRE-like region [PF08450.12]				0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_8	PKUV01	ENA|PKUV01000029|PKUV01000029.1	8	9707	10666	1	A	K09687	aba:Acid345_0284  ABC transporter, ATPase subunit; K09687 antibiotic transport system ATP-binding protein	True	0.698	442.0	2.048999999999999e-137								ABC transporter [PF00005.27]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.6]; AAA ATPase domain [PF13175.6]; RecF/RecN/SMC N terminal domain [PF02463.19]				0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_9	PKUV01	ENA|PKUV01000029|PKUV01000029.1	9	10667	11803	1	A		aba:Acid345_0285  ABC multidrug efflux pump, inner membrane subunit	True	0.622	433.0	2.6919999999999983e-133								ABC-2 type transporter [PF01061.24]				0
PKUV01_ENA|PKUV01000029|PKUV01000029.1_10	PKUV01	ENA|PKUV01000029|PKUV01000029.1	10	11897	12997	1	A		scs:Sta7437_1243  protein of unknown function DUF262	True	0.601	428.0	7.016999999999995e-132								Protein of unknown function DUF262 [PF03235.14]				0
